State/UT,Year,Social Status,Male,Female,Total
HIMACHAL PRADESH,2005,Divorcee,5,2,7
HIMACHAL PRADESH,2005,Seperated,19,13,32
HIMACHAL PRADESH,2005,Total,214,145,359
HIMACHAL PRADESH,2006,Never Married,82,50,132
HIMACHAL PRADESH,2006,Married,212,99,311
HIMACHAL PRADESH,2006,Widowed/Widower,3,4,7
HIMACHAL PRADESH,2006,Divorcee,0,0,0
HIMACHAL PRADESH,2006,Seperated,4,3,7
HIMACHAL PRADESH,2006,Total,301,156,457
HIMACHAL PRADESH,2007,Never Married,65,38,103
HIMACHAL PRADESH,2007,Married,188,100,288
HIMACHAL PRADESH,2007,Widowed/Widower,1,5,6
HIMACHAL PRADESH,2007,Divorcee,1,0,1
HIMACHAL PRADESH,2007,Seperated,3,1,4
HIMACHAL PRADESH,2007,Total,258,144,402
HIMACHAL PRADESH,2008,Never Married,85,48,133
HIMACHAL PRADESH,2008,Married,310,147,457
HIMACHAL PRADESH,2008,Widowed/Widower,10,14,24
HIMACHAL PRADESH,2008,Divorcee,3,0,3
HIMACHAL PRADESH,2008,Seperated,9,4,13
HIMACHAL PRADESH,2008,Total,417,213,630
HIMACHAL PRADESH,2009,Never Married,79,44,123
HIMACHAL PRADESH,2009,Married,266,136,402
HIMACHAL PRADESH,2009,Widowed/Widower,17,11,28
HIMACHAL PRADESH,2009,Divorcee,0,0,0
HIMACHAL PRADESH,2009,Seperated,4,3,7
HIMACHAL PRADESH,2009,Total,366,194,560
HIMACHAL PRADESH,2010,Never Married,91,55,146
HIMACHAL PRADESH,2010,Married,238,124,362
HIMACHAL PRADESH,2010,Widowed/Widower,13,8,21
HIMACHAL PRADESH,2010,Divorcee,1,0,1
HIMACHAL PRADESH,2010,Seperated,5,7,12
HIMACHAL PRADESH,2010,Total,348,194,542
HIMACHAL PRADESH,2011,Never Married,73,49,122
HIMACHAL PRADESH,2011,Married,188,114,302
HIMACHAL PRADESH,2011,Widowed/Widower,3,3,6
HIMACHAL PRADESH,2011,Divorcee,0,0,0
HIMACHAL PRADESH,2011,Seperated,5,8,13
HIMACHAL PRADESH,2011,Total,269,174,443
HIMACHAL PRADESH,2012,Never Married,91,37,128
HIMACHAL PRADESH,2012,Married,237,113,350
HIMACHAL PRADESH,2012,Widowed/Widower,10,9,19
HIMACHAL PRADESH,2012,Divorcee,4,2,6
HIMACHAL PRADESH,2012,Seperated,12,13,25
HIMACHAL PRADESH,2012,Total,354,174,528
JAMMU & KASHMIR,2001,Never Married,11,15,26
JAMMU & KASHMIR,2001,Married,74,45,119
JAMMU & KASHMIR,2001,Widowed/Widower,6,2,8
JAMMU & KASHMIR,2001,Divorcee,0,0,0
JAMMU & KASHMIR,2001,Seperated,0,0,0
JAMMU & KASHMIR,2001,Total,91,62,153
JAMMU & KASHMIR,2002,Never Married,22,18,40
JAMMU & KASHMIR,2002,Married,63,60,123
JAMMU & KASHMIR,2002,Widowed/Widower,5,2,7
JAMMU & KASHMIR,2002,Divorcee,1,5,6
JAMMU & KASHMIR,2002,Seperated,5,3,8
JAMMU & KASHMIR,2002,Total,96,88,184
JAMMU & KASHMIR,2003,Never Married,21,19,40
JAMMU & KASHMIR,2003,Married,34,43,77
JAMMU & KASHMIR,2003,Widowed/Widower,2,5,7
JAMMU & KASHMIR,2003,Divorcee,3,2,5
JAMMU & KASHMIR,2003,Seperated,3,6,9
JAMMU & KASHMIR,2003,Total,63,75,138
JAMMU & KASHMIR,2004,Never Married,15,15,30
JAMMU & KASHMIR,2004,Married,31,44,75
JAMMU & KASHMIR,2004,Widowed/Widower,3,0,3
JAMMU & KASHMIR,2004,Divorcee,0,0,0
JAMMU & KASHMIR,2004,Seperated,2,2,4
JAMMU & KASHMIR,2004,Total,51,61,112
JAMMU & KASHMIR,2005,Never Married,56,23,79
JAMMU & KASHMIR,2005,Married,112,58,170
JAMMU & KASHMIR,2005,Widowed/Widower,0,3,3
JAMMU & KASHMIR,2005,Divorcee,0,2,2
JAMMU & KASHMIR,2005,Seperated,28,12,40
JAMMU & KASHMIR,2005,Total,196,98,294
JAMMU & KASHMIR,2006,Never Married,53,42,95
JAMMU & KASHMIR,2006,Married,95,58,153
JAMMU & KASHMIR,2006,Widowed/Widower,0,3,3
JAMMU & KASHMIR,2006,Divorcee,0,5,5
JAMMU & KASHMIR,2006,Seperated,4,2,6
JAMMU & KASHMIR,2006,Total,152,110,262
JAMMU & KASHMIR,2007,Never Married,50,23,73
JAMMU & KASHMIR,2007,Married,101,54,155
JAMMU & KASHMIR,2007,Widowed/Widower,0,2,2
JAMMU & KASHMIR,2007,Divorcee,0,2,2
JAMMU & KASHMIR,2007,Seperated,2,0,2
JAMMU & KASHMIR,2007,Total,153,81,234
JAMMU & KASHMIR,2008,Never Married,50,36,86
JAMMU & KASHMIR,2008,Married,127,94,221
JAMMU & KASHMIR,2008,Widowed/Widower,0,0,0
JAMMU & KASHMIR,2008,Divorcee,0,3,3
JAMMU & KASHMIR,2008,Seperated,0,0,0
JAMMU & KASHMIR,2008,Total,177,133,310
JAMMU & KASHMIR,2009,Never Married,62,63,125
JAMMU & KASHMIR,2009,Married,97,83,180
JAMMU & KASHMIR,2009,Widowed/Widower,6,5,11
JAMMU & KASHMIR,2009,Divorcee,0,0,0
JAMMU & KASHMIR,2009,Seperated,3,2,5
JAMMU & KASHMIR,2009,Total,168,153,321
JAMMU & KASHMIR,2010,Never Married,42,61,103
JAMMU & KASHMIR,2010,Married,72,71,143
JAMMU & KASHMIR,2010,Widowed/Widower,0,1,1
JAMMU & KASHMIR,2010,Divorcee,0,0,0
JAMMU & KASHMIR,2010,Seperated,8,4,12
JAMMU & KASHMIR,2010,Total,122,137,259
JAMMU & KASHMIR,2011,Never Married,38,59,97
JAMMU & KASHMIR,2011,Married,83,69,152
JAMMU & KASHMIR,2011,Widowed/Widower,7,5,12
JAMMU & KASHMIR,2011,Divorcee,6,2,8
JAMMU & KASHMIR,2011,Seperated,10,8,18
JAMMU & KASHMIR,2011,Total,144,143,287
JAMMU & KASHMIR,2012,Never Married,59,67,126
JAMMU & KASHMIR,2012,Married,110,128,238
JAMMU & KASHMIR,2012,Widowed/Widower,5,6,11
JAMMU & KASHMIR,2012,Divorcee,5,12,17
JAMMU & KASHMIR,2012,Seperated,13,9,22
JAMMU & KASHMIR,2012,Total,192,222,414
JHARKHAND,2001,Never Married,20,15,35
JHARKHAND,2001,Married,107,85,192
JHARKHAND,2001,Widowed/Widower,1,2,3
JHARKHAND,2001,Divorcee,1,1,2
JHARKHAND,2001,Seperated,12,6,18
JHARKHAND,2001,Total,141,109,250
JHARKHAND,2002,Never Married,14,14,28
JHARKHAND,2002,Married,84,85,169
JHARKHAND,2002,Widowed/Widower,24,10,34
JHARKHAND,2002,Divorcee,12,3,15
JHARKHAND,2002,Seperated,19,7,26
JHARKHAND,2002,Total,153,119,272
JHARKHAND,2003,Never Married,21,14,35
JHARKHAND,2003,Married,90,75,165
JHARKHAND,2003,Widowed/Widower,15,20,35
JHARKHAND,2003,Divorcee,12,3,15
JHARKHAND,2003,Seperated,15,7,22
JHARKHAND,2003,Total,153,119,272
JHARKHAND,2004,Never Married,44,29,73
JHARKHAND,2004,Married,139,115,254
JHARKHAND,2004,Widowed/Widower,24,13,37
JHARKHAND,2004,Divorcee,3,12,15
JHARKHAND,2004,Seperated,23,15,38
JHARKHAND,2004,Total,233,184,417
JHARKHAND,2005,Never Married,135,91,226
JHARKHAND,2005,Married,347,165,512
JHARKHAND,2005,Widowed/Widower,12,19,31
JHARKHAND,2005,Divorcee,4,4,8
JHARKHAND,2005,Seperated,25,6,31
JHARKHAND,2005,Total,523,285,808
JHARKHAND,2006,Never Married,199,104,303
JHARKHAND,2006,Married,290,211,501
JHARKHAND,2006,Widowed/Widower,17,11,28
JHARKHAND,2006,Divorcee,4,5,9
JHARKHAND,2006,Seperated,11,4,15
JHARKHAND,2006,Total,521,335,856
JHARKHAND,2007,Never Married,232,116,348
JHARKHAND,2007,Married,573,259,832
JHARKHAND,2007,Widowed/Widower,57,21,78
JHARKHAND,2007,Divorcee,14,7,21
JHARKHAND,2007,Seperated,4,6,10
JHARKHAND,2007,Total,880,409,1289
JHARKHAND,2008,Never Married,134,82,216
JHARKHAND,2008,Married,413,156,569
JHARKHAND,2008,Widowed/Widower,21,18,39
JHARKHAND,2008,Divorcee,5,28,33
JHARKHAND,2008,Seperated,29,25,54
JHARKHAND,2008,Total,602,309,911
JHARKHAND,2009,Never Married,192,110,302
JHARKHAND,2009,Married,491,215,706
JHARKHAND,2009,Widowed/Widower,45,28,73
JHARKHAND,2009,Divorcee,6,7,13
JHARKHAND,2009,Seperated,10,8,18
JHARKHAND,2009,Total,744,368,1112
JHARKHAND,2010,Never Married,222,142,364
JHARKHAND,2010,Married,522,254,776
JHARKHAND,2010,Widowed/Widower,37,25,62
JHARKHAND,2010,Divorcee,3,10,13
JHARKHAND,2010,Seperated,11,6,17
JHARKHAND,2010,Total,795,437,1232
JHARKHAND,2011,Never Married,205,103,308
JHARKHAND,2011,Married,591,250,841
JHARKHAND,2011,Widowed/Widower,18,24,42
JHARKHAND,2011,Divorcee,2,5,7
JHARKHAND,2011,Seperated,9,5,14
JHARKHAND,2011,Total,825,387,1212
JHARKHAND,2012,Never Married,302,165,467
JHARKHAND,2012,Married,453,273,726
JHARKHAND,2012,Widowed/Widower,37,22,59
JHARKHAND,2012,Divorcee,19,8,27
JHARKHAND,2012,Seperated,27,13,40
JHARKHAND,2012,Total,838,481,1319
KARNATAKA,2001,Never Married,1686,894,2580
KARNATAKA,2001,Married,5581,2607,8188
KARNATAKA,2001,Widowed/Widower,261,364,625
KARNATAKA,2001,Divorcee,32,35,67
KARNATAKA,2001,Seperated,311,110,421
KARNATAKA,2001,Total,7871,4010,11881
KARNATAKA,2002,Never Married,1794,969,2763
KARNATAKA,2002,Married,5865,2829,8694
KARNATAKA,2002,Widowed/Widower,138,193,331
KARNATAKA,2002,Divorcee,15,68,83
KARNATAKA,2002,Seperated,268,131,399
KARNATAKA,2002,Total,8080,4190,12270
KARNATAKA,2003,Never Married,1953,1007,2960
KARNATAKA,2003,Married,5912,2678,8590
KARNATAKA,2003,Widowed/Widower,251,206,457
KARNATAKA,2003,Divorcee,26,17,43
KARNATAKA,2003,Seperated,233,78,311
KARNATAKA,2003,Total,8375,3986,12361
KARNATAKA,2004,Never Married,1762,1000,2762
KARNATAKA,2004,Married,5841,2671,8512
KARNATAKA,2004,Widowed/Widower,159,165,324
KARNATAKA,2004,Divorcee,13,3,16
KARNATAKA,2004,Seperated,243,80,323
KARNATAKA,2004,Total,8018,3919,11937
KARNATAKA,2005,Never Married,1562,869,2431
KARNATAKA,2005,Married,5715,2706,8421
KARNATAKA,2005,Widowed/Widower,170,147,317
KARNATAKA,2005,Divorcee,28,24,52
KARNATAKA,2005,Seperated,232,104,336
KARNATAKA,2005,Total,7707,3850,11557
KARNATAKA,2006,Never Married,1761,956,2717
KARNATAKA,2006,Married,5806,2863,8669
KARNATAKA,2006,Widowed/Widower,204,214,418
KARNATAKA,2006,Divorcee,33,28,61
KARNATAKA,2006,Seperated,244,103,347
KARNATAKA,2006,Total,8048,4164,12212
KARNATAKA,2007,Never Married,1776,1052,2828
KARNATAKA,2007,Married,6137,2574,8711
KARNATAKA,2007,Widowed/Widower,320,187,507
KARNATAKA,2007,Divorcee,28,51,79
KARNATAKA,2007,Seperated,131,48,179
KARNATAKA,2007,Total,8392,3912,12304
KARNATAKA,2008,Never Married,1771,1026,2797
KARNATAKA,2008,Married,6068,2715,8783
KARNATAKA,2008,Widowed/Widower,184,180,364
KARNATAKA,2008,Divorcee,38,34,72
KARNATAKA,2008,Seperated,155,51,206
KARNATAKA,2008,Total,8216,4006,12222
KARNATAKA,2009,Never Married,1775,982,2757
KARNATAKA,2009,Married,5581,2397,7978
KARNATAKA,2009,Widowed/Widower,495,423,918
KARNATAKA,2009,Divorcee,75,49,124
KARNATAKA,2009,Seperated,283,135,418
KARNATAKA,2009,Total,8209,3986,12195
KARNATAKA,2010,Never Married,1921,1055,2976
KARNATAKA,2010,Married,5631,2730,8361
KARNATAKA,2010,Widowed/Widower,471,250,721
KARNATAKA,2010,Divorcee,125,84,209
KARNATAKA,2010,Seperated,259,125,384
KARNATAKA,2010,Total,8407,4244,12651
KARNATAKA,2011,Never Married,1873,996,2869
KARNATAKA,2011,Married,6002,2822,8824
KARNATAKA,2011,Widowed/Widower,283,184,467
KARNATAKA,2011,Divorcee,55,58,113
KARNATAKA,2011,Seperated,259,90,349
KARNATAKA,2011,Total,8472,4150,12622
KARNATAKA,2012,Never Married,1968,1032,3000
KARNATAKA,2012,Married,6216,2920,9136
KARNATAKA,2012,Widowed/Widower,180,133,313
KARNATAKA,2012,Divorcee,17,13,30
KARNATAKA,2012,Seperated,215,59,274
KARNATAKA,2012,Total,8596,4157,12753
KERALA,2001,Never Married,1187,601,1788
KERALA,2001,Married,5306,1915,7221
KERALA,2001,Widowed/Widower,119,148,267
KERALA,2001,Divorcee,45,66,111
KERALA,2001,Seperated,130,55,185
KERALA,2001,Total,6787,2785,9572
KERALA,2002,Never Married,1193,570,1763
KERALA,2002,Married,5600,1782,7382
KERALA,2002,Widowed/Widower,189,171,360
KERALA,2002,Divorcee,26,54,80
KERALA,2002,Seperated,157,68,225
KERALA,2002,Total,7165,2645,9810
KERALA,2003,Never Married,1236,587,1823
KERALA,2003,Married,5344,1678,7022
KERALA,2003,Widowed/Widower,187,173,360
KERALA,2003,Divorcee,36,20,56
KERALA,2003,Seperated,132,45,177
KERALA,2003,Total,6935,2503,9438
KERALA,2004,Never Married,1113,583,1696
KERALA,2004,Married,5120,1576,6696
KERALA,2004,Widowed/Widower,181,203,384
KERALA,2004,Divorcee,49,42,91
KERALA,2004,Seperated,135,51,186
KERALA,2004,Total,6598,2455,9053
KERALA,2005,Never Married,1238,528,1766
KERALA,2005,Married,5388,1675,7063
KERALA,2005,Widowed/Widower,128,150,278
KERALA,2005,Divorcee,16,20,36
KERALA,2005,Seperated,60,41,101
KERALA,2005,Total,6830,2414,9244
KERALA,2006,Never Married,999,479,1478
KERALA,2006,Married,5298,1697,6995
KERALA,2006,Widowed/Widower,143,181,324
KERALA,2006,Divorcee,36,41,77
KERALA,2006,Seperated,107,45,152
KERALA,2006,Total,6583,2443,9026
KERALA,2007,Never Married,996,433,1429
KERALA,2007,Married,5333,1666,6999
KERALA,2007,Widowed/Widower,142,183,325
KERALA,2007,Divorcee,40,47,87
KERALA,2007,Seperated,77,45,122
KERALA,2007,Total,6588,2374,8962
KERALA,2008,Never Married,891,446,1337
KERALA,2008,Married,4952,1723,6675
KERALA,2008,Widowed/Widower,154,182,336
KERALA,2008,Divorcee,36,37,73
KERALA,2008,Seperated,97,51,148
KERALA,2008,Total,6130,2439,8569
KERALA,2009,Never Married,932,417,1349
KERALA,2009,Married,5099,1754,6853
KERALA,2009,Widowed/Widower,163,164,327
KERALA,2009,Divorcee,38,35,73
KERALA,2009,Seperated,90,63,153
KERALA,2009,Total,6322,2433,8755
KERALA,2010,Never Married,909,424,1333
KERALA,2010,Married,5141,1575,6716
KERALA,2010,Widowed/Widower,172,164,336
KERALA,2010,Divorcee,33,40,73
KERALA,2010,Seperated,91,37,128
KERALA,2010,Total,6346,2240,8586
KERALA,2011,Never Married,985,408,1393
KERALA,2011,Married,4845,1548,6393
KERALA,2011,Widowed/Widower,197,160,357
KERALA,2011,Divorcee,91,45,136
KERALA,2011,Seperated,94,58,152
KERALA,2011,Total,6212,2219,8431
KERALA,2012,Never Married,1000,401,1401
KERALA,2012,Married,4998,1443,6441
KERALA,2012,Widowed/Widower,262,163,425
KERALA,2012,Divorcee,63,43,106
KERALA,2012,Seperated,86,31,117
KERALA,2012,Total,6409,2081,8490
MADHYA PRADESH,2001,Never Married,1125,862,1987
MADHYA PRADESH,2001,Married,2260,2255,4515
MADHYA PRADESH,2001,Widowed/Widower,137,180,317
MADHYA PRADESH,2001,Divorcee,6,13,19
MADHYA PRADESH,2001,Seperated,8,14,22
MADHYA PRADESH,2001,Total,3536,3324,6860
MADHYA PRADESH,2002,Never Married,971,670,1641
MADHYA PRADESH,2002,Married,2353,2370,4723
MADHYA PRADESH,2002,Widowed/Widower,152,194,346
MADHYA PRADESH,2002,Divorcee,50,32,82
MADHYA PRADESH,2002,Seperated,53,54,107
MADHYA PRADESH,2002,Total,3579,3320,6899
MADHYA PRADESH,2003,Never Married,976,686,1662
MADHYA PRADESH,2003,Married,2335,2251,4586
MADHYA PRADESH,2003,Widowed/Widower,166,223,389
MADHYA PRADESH,2003,Divorcee,22,29,51
MADHYA PRADESH,2003,Seperated,39,35,74
MADHYA PRADESH,2003,Total,3538,3224,6762
MADHYA PRADESH,2004,Never Married,935,560,1495
MADHYA PRADESH,2004,Married,2462,2337,4799
MADHYA PRADESH,2004,Widowed/Widower,155,187,342
MADHYA PRADESH,2004,Divorcee,32,35,67
MADHYA PRADESH,2004,Seperated,50,42,92
MADHYA PRADESH,2004,Total,3634,3161,6795
MADHYA PRADESH,2005,Never Married,600,587,1187
MADHYA PRADESH,2005,Married,2031,1780,3811
MADHYA PRADESH,2005,Widowed/Widower,126,132,258
MADHYA PRADESH,2005,Divorcee,21,42,63
MADHYA PRADESH,2005,Seperated,73,56,129
MADHYA PRADESH,2005,Total,2851,2597,5448
MADHYA PRADESH,2006,Never Married,786,671,1457
MADHYA PRADESH,2006,Married,2515,2050,4565
MADHYA PRADESH,2006,Widowed/Widower,149,122,271
MADHYA PRADESH,2006,Divorcee,14,34,48
MADHYA PRADESH,2006,Seperated,39,55,94
MADHYA PRADESH,2006,Total,3503,2932,6435
MADHYA PRADESH,2007,Never Married,911,728,1639
MADHYA PRADESH,2007,Married,2425,1917,4342
MADHYA PRADESH,2007,Widowed/Widower,100,149,249
MADHYA PRADESH,2007,Divorcee,11,25,36
MADHYA PRADESH,2007,Seperated,23,40,63
MADHYA PRADESH,2007,Total,3470,2859,6329
MADHYA PRADESH,2008,Never Married,1302,854,2156
MADHYA PRADESH,2008,Married,2693,2020,4713
MADHYA PRADESH,2008,Widowed/Widower,182,199,381
MADHYA PRADESH,2008,Divorcee,73,69,142
MADHYA PRADESH,2008,Seperated,115,122,237
MADHYA PRADESH,2008,Total,4365,3264,7629
MADHYA PRADESH,2009,Never Married,1417,1002,2419
MADHYA PRADESH,2009,Married,3366,2735,6101
MADHYA PRADESH,2009,Widowed/Widower,269,200,469
MADHYA PRADESH,2009,Divorcee,29,20,49
MADHYA PRADESH,2009,Seperated,19,56,75
MADHYA PRADESH,2009,Total,5100,4013,9113
MADHYA PRADESH,2010,Never Married,1356,998,2354
MADHYA PRADESH,2010,Married,3426,2644,6070
MADHYA PRADESH,2010,Widowed/Widower,189,161,350
MADHYA PRADESH,2010,Divorcee,72,61,133
MADHYA PRADESH,2010,Seperated,44,52,96
MADHYA PRADESH,2010,Total,5087,3916,9003
MADHYA PRADESH,2011,Never Married,1474,1040,2514
MADHYA PRADESH,2011,Married,3589,2757,6346
MADHYA PRADESH,2011,Widowed/Widower,123,127,250
MADHYA PRADESH,2011,Divorcee,20,31,51
MADHYA PRADESH,2011,Seperated,34,64,98
MADHYA PRADESH,2011,Total,5240,4019,9259
MADHYA PRADESH,2012,Never Married,1592,1108,2700
MADHYA PRADESH,2012,Married,3860,2672,6532
MADHYA PRADESH,2012,Widowed/Widower,242,161,403
MADHYA PRADESH,2012,Divorcee,19,30,49
MADHYA PRADESH,2012,Seperated,61,30,91
MADHYA PRADESH,2012,Total,5774,4001,9775
MAHARASHTRA,2001,Never Married,1892,1102,2994
MAHARASHTRA,2001,Married,7015,3734,10749
MAHARASHTRA,2001,Widowed/Widower,247,280,527
MAHARASHTRA,2001,Divorcee,64,95,159
MAHARASHTRA,2001,Seperated,120,69,189
MAHARASHTRA,2001,Total,9338,5280,14618
MAHARASHTRA,2002,Never Married,2046,1106,3152
MAHARASHTRA,2002,Married,6988,3621,10609
MAHARASHTRA,2002,Widowed/Widower,283,241,524
MAHARASHTRA,2002,Divorcee,45,51,96
MAHARASHTRA,2002,Seperated,85,63,148
MAHARASHTRA,2002,Total,9447,5082,14529
MAHARASHTRA,2003,Never Married,1925,1012,2937
MAHARASHTRA,2003,Married,7477,3563,11040
MAHARASHTRA,2003,Widowed/Widower,320,302,622
MAHARASHTRA,2003,Divorcee,20,33,53
MAHARASHTRA,2003,Seperated,68,40,108
MAHARASHTRA,2003,Total,9810,4950,14760
MAHARASHTRA,2004,Never Married,2000,1054,3054
MAHARASHTRA,2004,Married,7525,3454,10979
MAHARASHTRA,2004,Widowed/Widower,246,260,506
MAHARASHTRA,2004,Divorcee,51,36,87
MAHARASHTRA,2004,Seperated,81,22,103
MAHARASHTRA,2004,Total,9903,4826,14729
MAHARASHTRA,2005,Never Married,1937,1108,3045
MAHARASHTRA,2005,Married,7232,3410,10642
MAHARASHTRA,2005,Widowed/Widower,346,250,596
MAHARASHTRA,2005,Divorcee,36,38,74
MAHARASHTRA,2005,Seperated,52,17,69
MAHARASHTRA,2005,Total,9603,4823,14426
MAHARASHTRA,2006,Never Married,1994,955,2949
MAHARASHTRA,2006,Married,8133,3707,11840
MAHARASHTRA,2006,Widowed/Widower,293,257,550
MAHARASHTRA,2006,Divorcee,35,37,72
MAHARASHTRA,2006,Seperated,55,28,83
MAHARASHTRA,2006,Total,10510,4984,15494
MAHARASHTRA,2007,Never Married,2019,949,2968
MAHARASHTRA,2007,Married,8024,3519,11543
MAHARASHTRA,2007,Widowed/Widower,295,230,525
MAHARASHTRA,2007,Divorcee,33,48,81
MAHARASHTRA,2007,Seperated,49,18,67
MAHARASHTRA,2007,Total,10420,4764,15184
MAHARASHTRA,2008,Never Married,1979,991,2970
MAHARASHTRA,2008,Married,7634,3176,10810
MAHARASHTRA,2008,Widowed/Widower,211,258,469
MAHARASHTRA,2008,Divorcee,28,42,70
MAHARASHTRA,2008,Seperated,37,18,55
MAHARASHTRA,2008,Total,9889,4485,14374
MAHARASHTRA,2009,Never Married,1995,1037,3032
MAHARASHTRA,2009,Married,7511,3235,10746
MAHARASHTRA,2009,Widowed/Widower,228,212,440
MAHARASHTRA,2009,Divorcee,20,20,40
MAHARASHTRA,2009,Seperated,31,11,42
MAHARASHTRA,2009,Total,9785,4515,14300
MAHARASHTRA,2010,Never Married,2372,1271,3643
MAHARASHTRA,2010,Married,8138,3538,11676
MAHARASHTRA,2010,Widowed/Widower,300,225,525
MAHARASHTRA,2010,Divorcee,31,18,49
MAHARASHTRA,2010,Seperated,17,6,23
MAHARASHTRA,2010,Total,10858,5058,15916
MAHARASHTRA,2011,Never Married,2211,1144,3355
MAHARASHTRA,2011,Married,8387,3696,12083
MAHARASHTRA,2011,Widowed/Widower,229,196,425
MAHARASHTRA,2011,Divorcee,35,21,56
MAHARASHTRA,2011,Seperated,25,3,28
MAHARASHTRA,2011,Total,10887,5060,15947
MAHARASHTRA,2012,Never Married,2261,1179,3440
MAHARASHTRA,2012,Married,8756,3370,12126
MAHARASHTRA,2012,Widowed/Widower,228,220,448
MAHARASHTRA,2012,Divorcee,29,26,55
MAHARASHTRA,2012,Seperated,30,13,43
MAHARASHTRA,2012,Total,11304,4808,16112
MANIPUR,2001,Never Married,12,9,21
MANIPUR,2001,Married,12,8,20
MANIPUR,2001,Widowed/Widower,0,0,0
MANIPUR,2001,Divorcee,0,0,0
MANIPUR,2001,Seperated,0,0,0
MANIPUR,2001,Total,24,17,41
MANIPUR,2002,Never Married,9,4,13
MANIPUR,2002,Married,21,5,26
MANIPUR,2002,Widowed/Widower,0,0,0
MANIPUR,2002,Divorcee,0,0,0
MANIPUR,2002,Seperated,0,0,0
MANIPUR,2002,Total,30,9,39
MANIPUR,2003,Never Married,9,3,12
MANIPUR,2003,Married,12,2,14
MANIPUR,2003,Widowed/Widower,0,0,0
MANIPUR,2003,Divorcee,0,0,0
MANIPUR,2003,Seperated,0,0,0
MANIPUR,2003,Total,21,5,26
MANIPUR,2004,Never Married,13,8,21
MANIPUR,2004,Married,19,1,20
MANIPUR,2004,Widowed/Widower,0,0,0
MANIPUR,2004,Divorcee,0,0,0
MANIPUR,2004,Seperated,0,0,0
MANIPUR,2004,Total,32,9,41
MANIPUR,2005,Never Married,8,2,10
MANIPUR,2005,Married,15,2,17
MANIPUR,2005,Widowed/Widower,0,0,0
MANIPUR,2005,Divorcee,0,0,0
MANIPUR,2005,Seperated,0,0,0
MANIPUR,2005,Total,23,4,27
MANIPUR,2006,Never Married,9,9,18
MANIPUR,2006,Married,14,3,17
MANIPUR,2006,Widowed/Widower,1,0,1
MANIPUR,2006,Divorcee,0,0,0
MANIPUR,2006,Seperated,0,0,0
MANIPUR,2006,Total,24,12,36
MANIPUR,2007,Never Married,10,1,11
MANIPUR,2007,Married,18,10,28
MANIPUR,2007,Widowed/Widower,0,0,0
MANIPUR,2007,Divorcee,0,0,0
MANIPUR,2007,Seperated,0,0,0
MANIPUR,2007,Total,28,11,39
MANIPUR,2008,Never Married,5,4,9
MANIPUR,2008,Married,18,7,25
MANIPUR,2008,Widowed/Widower,0,0,0
MANIPUR,2008,Divorcee,0,0,0
MANIPUR,2008,Seperated,0,0,0
MANIPUR,2008,Total,23,11,34
MANIPUR,2009,Never Married,7,4,11
MANIPUR,2009,Married,11,5,16
MANIPUR,2009,Widowed/Widower,0,0,0
MANIPUR,2009,Divorcee,0,0,0
MANIPUR,2009,Seperated,0,0,0
MANIPUR,2009,Total,18,9,27
MANIPUR,2010,Never Married,11,4,15
MANIPUR,2010,Married,13,8,21
MANIPUR,2010,Widowed/Widower,0,1,1
MANIPUR,2010,Divorcee,0,0,0
MANIPUR,2010,Seperated,0,0,0
MANIPUR,2010,Total,24,13,37
MANIPUR,2011,Never Married,6,6,12
MANIPUR,2011,Married,12,9,21
MANIPUR,2011,Widowed/Widower,0,0,0
MANIPUR,2011,Divorcee,0,0,0
MANIPUR,2011,Seperated,0,0,0
MANIPUR,2011,Total,18,15,33
MANIPUR,2012,Never Married,12,9,21
MANIPUR,2012,Married,11,8,19
MANIPUR,2012,Widowed/Widower,0,1,1
MANIPUR,2012,Divorcee,0,0,0
MANIPUR,2012,Seperated,0,0,0
MANIPUR,2012,Total,23,18,41
MEGHALAYA,2001,Never Married,29,8,37
MEGHALAYA,2001,Married,35,7,42
MEGHALAYA,2001,Widowed/Widower,5,2,7
MEGHALAYA,2001,Divorcee,0,0,0
MEGHALAYA,2001,Seperated,0,1,1
MEGHALAYA,2001,Total,69,18,87
MEGHALAYA,2002,Never Married,23,6,29
MEGHALAYA,2002,Married,26,11,37
MEGHALAYA,2002,Widowed/Widower,0,1,1
MEGHALAYA,2002,Divorcee,0,0,0
MEGHALAYA,2002,Seperated,0,0,0
MEGHALAYA,2002,Total,49,18,67
MEGHALAYA,2003,Never Married,9,6,15
MEGHALAYA,2003,Married,17,1,18
MEGHALAYA,2003,Widowed/Widower,5,2,7
MEGHALAYA,2003,Divorcee,0,0,0
MEGHALAYA,2003,Seperated,1,0,1
MEGHALAYA,2003,Total,32,9,41
MEGHALAYA,2004,Never Married,16,8,24
MEGHALAYA,2004,Married,20,8,28
MEGHALAYA,2004,Widowed/Widower,2,0,2
MEGHALAYA,2004,Divorcee,0,0,0
MEGHALAYA,2004,Seperated,1,0,1
MEGHALAYA,2004,Total,39,16,55
MEGHALAYA,2005,Never Married,17,7,24
MEGHALAYA,2005,Married,32,14,46
MEGHALAYA,2005,Widowed/Widower,0,0,0
MEGHALAYA,2005,Divorcee,0,0,0
MEGHALAYA,2005,Seperated,1,0,1
MEGHALAYA,2005,Total,50,21,71
MEGHALAYA,2006,Never Married,20,10,30
MEGHALAYA,2006,Married,46,13,59
