State/UT,Year,Cause,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Total
KARNATAKA,2003,By touching electric wires,2,16,13,7,1,39,1,1,4,0,0,6,45
KARNATAKA,2003,By coming under running vehicles/trains,1,116,177,120,37,451,3,27,30,15,14,89,540
KARNATAKA,2003,By Other means (please specify),11,176,215,225,195,822,32,182,153,55,33,455,1277
KARNATAKA,2003,Total,142,2426,2895,2002,910,8375,154,1631,1281,611,309,3986,12361
KARNATAKA,2003,Total (Poison),30,1053,1198,790,295,3366,62,554,385,236,106,1343,4709
KARNATAKA,2003,Total (Jumping),3,9,29,16,3,60,1,2,3,3,0,9,69
KARNATAKA,2004,By Over Alcoholism,0,22,68,45,14,149,0,2,3,2,1,8,157
KARNATAKA,2004,By Drowning,33,179,199,103,66,580,11,133,139,81,67,431,1011
KARNATAKA,2004,By Fire/Self Immolation,4,62,94,61,5,226,12,192,165,56,23,448,674
KARNATAKA,2004,By Fire-Arms,1,26,34,9,4,74,2,21,16,15,1,55,129
KARNATAKA,2004,By Hanging,28,682,920,571,188,2389,29,508,325,164,59,1085,3474
KARNATAKA,2004,By Consuming Insecticides,17,273,278,173,80,821,13,176,105,33,25,352,1173
KARNATAKA,2004,By Consuming Other Poison,21,704,715,473,173,2086,47,347,286,137,40,857,2943
KARNATAKA,2004,By Self Infliction of injury,0,0,6,1,0,7,0,0,1,1,0,2,9
KARNATAKA,2004,By Jumping from (Building),0,12,13,5,1,31,0,5,2,4,0,11,42
KARNATAKA,2004,By Jumping from (Other sites),2,6,3,2,1,14,4,5,2,1,0,12,26
KARNATAKA,2004,By Jumping off Moving Vehicles/Trains,0,1,1,1,0,3,0,0,0,0,0,0,3
KARNATAKA,2004,By Machine,0,0,3,0,0,3,0,0,0,0,0,0,3
KARNATAKA,2004,By Overdose of sleeping pills,0,9,10,7,6,32,0,14,2,1,0,17,49
KARNATAKA,2004,By touching electric wires,2,14,13,13,5,47,6,6,6,2,1,21,68
KARNATAKA,2004,By coming under running vehicles/trains,1,105,182,121,36,445,0,27,31,10,11,79,524
KARNATAKA,2004,By Other means (please specify),50,234,389,277,161,1111,22,252,148,90,29,541,1652
KARNATAKA,2004,Total,159,2329,2928,1862,740,8018,146,1688,1231,597,257,3919,11937
KARNATAKA,2004,Total (Poison),38,977,999,647,253,2914,60,523,392,171,65,1211,4125
KARNATAKA,2004,Total (Jumping),2,18,16,7,2,45,4,10,4,5,0,23,68
KARNATAKA,2005,By Over Alcoholism,0,8,26,30,4,68,0,0,2,2,0,4,72
KARNATAKA,2005,By Drowning,22,160,230,168,67,647,15,160,157,74,71,477,1124
KARNATAKA,2005,By Fire/Self Immolation,4,42,81,28,9,164,2,198,109,54,13,376,540
KARNATAKA,2005,By Fire-Arms,1,32,37,19,1,90,2,38,15,8,1,64,154
KARNATAKA,2005,By Hanging,16,708,940,565,216,2445,18,466,347,165,55,1051,3496
KARNATAKA,2005,By Consuming Insecticides,4,197,232,189,68,690,0,94,97,59,18,268,958
KARNATAKA,2005,By Consuming Other Poison,10,687,735,513,170,2115,15,432,272,127,52,898,3013
KARNATAKA,2005,By Self Infliction of injury,1,7,8,4,1,21,1,18,7,1,0,27,48
KARNATAKA,2005,By Jumping from (Building),1,2,9,5,0,17,0,1,0,0,0,1,18
KARNATAKA,2005,By Jumping from (Other sites),4,10,8,4,1,27,1,1,1,1,0,4,31
KARNATAKA,2005,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,1,0,0,0,0,1,1
KARNATAKA,2005,By Machine,0,0,1,0,0,1,0,0,0,0,0,0,1
KARNATAKA,2005,By Overdose of sleeping pills,2,0,1,1,0,4,0,6,2,0,0,8,12
KARNATAKA,2005,By touching electric wires,1,15,4,2,1,23,0,2,1,1,0,4,27
KARNATAKA,2005,By coming under running vehicles/trains,0,163,61,127,1,352,0,23,34,14,0,71,423
KARNATAKA,2005,By Other means (please specify),38,230,318,297,160,1043,32,175,182,145,62,596,1639
KARNATAKA,2005,Total,104,2261,2691,1952,699,7707,87,1614,1226,651,272,3850,11557
KARNATAKA,2005,Total (Poison),15,891,975,706,239,2826,16,544,376,187,70,1193,4019
KARNATAKA,2005,Total (Jumping),5,12,17,9,1,44,1,2,1,1,0,5,49
KARNATAKA,2006,By Over Alcoholism,0,19,63,37,8,127,0,0,2,1,0,3,130
KARNATAKA,2006,By Drowning,25,178,219,123,62,607,15,154,197,101,59,526,1133
KARNATAKA,2006,By Fire/Self Immolation,2,55,79,40,15,191,11,194,148,62,26,441,632
KARNATAKA,2006,By Fire-Arms,0,6,9,6,2,23,0,5,1,1,0,7,30
KARNATAKA,2006,By Hanging,24,661,961,623,192,2461,25,517,313,185,47,1087,3548
KARNATAKA,2006,By Consuming Insecticides,9,233,280,222,106,850,6,151,108,67,20,352,1202
KARNATAKA,2006,By Consuming Other Poison,17,654,736,605,141,2153,40,400,325,146,42,953,3106
KARNATAKA,2006,By Self Infliction of injury,0,8,7,4,3,22,0,1,0,0,0,1,23
KARNATAKA,2006,By Jumping from (Building),0,9,7,4,0,20,0,5,1,0,1,7,27
KARNATAKA,2006,By Jumping from (Other sites),2,20,20,18,5,65,0,15,5,4,2,26,91
KARNATAKA,2006,By Jumping off Moving Vehicles/Trains,0,0,0,1,0,1,0,0,0,0,0,0,1
KARNATAKA,2006,By Machine,0,0,1,1,0,2,0,0,0,0,0,0,2
KARNATAKA,2006,By Overdose of sleeping pills,0,5,6,2,0,13,1,5,2,0,2,10,23
KARNATAKA,2006,By touching electric wires,2,1,4,2,1,10,0,0,2,0,0,2,12
KARNATAKA,2006,By coming under running vehicles/trains,0,83,62,127,1,273,0,19,30,10,0,59,332
KARNATAKA,2006,By Other means (please specify),70,375,386,210,189,1230,33,287,191,113,66,690,1920
KARNATAKA,2006,Total,151,2307,2840,2025,725,8048,131,1753,1325,690,265,4164,12212
KARNATAKA,2006,Total (Poison),26,895,1023,831,250,3025,46,552,433,213,62,1306,4331
KARNATAKA,2006,Total (Jumping),2,29,27,22,5,85,0,20,6,4,3,33,118
KARNATAKA,2007,By Over Alcoholism,0,18,60,62,13,153,0,2,4,6,3,15,168
KARNATAKA,2007,By Drowning,26,142,228,173,39,608,14,131,134,88,50,417,1025
KARNATAKA,2007,By Fire/Self Immolation,2,52,97,47,17,215,23,155,111,51,18,358,573
KARNATAKA,2007,By Fire-Arms,0,5,4,3,2,14,0,4,6,4,1,15,29
KARNATAKA,2007,By Hanging,18,712,950,723,197,2600,22,454,328,146,52,1002,3602
KARNATAKA,2007,By Consuming Insecticides,10,150,193,130,46,529,22,127,74,52,7,282,811
KARNATAKA,2007,By Consuming Other Poison,14,576,817,649,184,2240,17,347,315,174,71,924,3164
KARNATAKA,2007,By Self Infliction of injury,0,6,1,3,4,14,0,3,10,0,3,16,30
KARNATAKA,2007,By Jumping from (Building),0,13,9,9,2,33,0,4,3,2,1,10,43
KARNATAKA,2007,By Jumping from (Other sites),0,15,17,9,8,49,0,9,6,1,1,17,66
KARNATAKA,2007,By Jumping off Moving Vehicles/Trains,0,1,1,1,1,4,0,0,1,0,0,1,5
KARNATAKA,2007,By Machine,0,0,2,0,0,2,0,0,0,0,0,0,2
KARNATAKA,2007,By Overdose of sleeping pills,4,16,10,6,1,37,0,11,4,1,0,16,53
KARNATAKA,2007,By touching electric wires,1,19,17,7,8,52,1,0,2,0,0,3,55
KARNATAKA,2007,By coming under running vehicles/trains,0,102,87,136,0,325,0,15,28,15,0,58,383
KARNATAKA,2007,By Other means (please specify),34,327,491,461,204,1517,28,261,209,213,67,778,2295
KARNATAKA,2007,Total,109,2154,2984,2419,726,8392,127,1523,1235,753,274,3912,12304
KARNATAKA,2007,Total (Poison),24,732,1011,782,234,2783,39,477,399,226,81,1222,4005
KARNATAKA,2007,Total (Jumping),0,28,26,18,10,82,0,13,9,3,2,27,109
KARNATAKA,2008,By Over Alcoholism,0,18,67,50,24,159,0,22,21,14,5,62,221
KARNATAKA,2008,By Drowning,14,171,244,157,79,665,9,139,127,69,43,387,1052
KARNATAKA,2008,By Fire/Self Immolation,1,63,92,56,18,230,8,192,92,47,11,350,580
KARNATAKA,2008,By Fire-Arms,0,4,8,4,4,20,0,10,6,1,1,18,38
KARNATAKA,2008,By Hanging,15,712,889,684,220,2520,28,544,348,153,87,1160,3680
KARNATAKA,2008,By Consuming Insecticides,3,212,334,216,93,858,4,182,121,76,44,427,1285
KARNATAKA,2008,By Consuming Other Poison,6,522,707,541,155,1931,9,285,269,162,57,782,2713
KARNATAKA,2008,By Self Infliction of injury,2,13,26,7,1,49,3,28,9,4,6,50,99
KARNATAKA,2008,By Jumping from (Building),0,13,4,6,1,24,1,2,1,1,0,5,29
KARNATAKA,2008,By Jumping from (Other sites),1,15,17,5,9,47,0,8,2,5,2,17,64
KARNATAKA,2008,By Jumping off Moving Vehicles/Trains,0,1,1,0,0,2,0,6,3,2,0,11,13
KARNATAKA,2008,By Machine,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,2008,By Overdose of sleeping pills,0,2,7,0,2,11,0,3,0,1,1,5,16
KARNATAKA,2008,By touching electric wires,2,20,26,19,3,70,0,10,13,4,1,28,98
KARNATAKA,2008,By coming under running vehicles/trains,0,99,69,181,5,354,0,35,18,4,0,57,411
KARNATAKA,2008,By Other means (please specify),10,333,379,377,177,1276,18,191,231,147,60,647,1923
KARNATAKA,2008,Total,54,2198,2870,2303,791,8216,80,1657,1261,690,318,4006,12222
KARNATAKA,2008,Total (Poison),11,747,1067,764,249,2838,16,495,399,242,107,1259,4097
KARNATAKA,2008,Total (Jumping),1,28,21,11,10,71,1,10,3,6,2,22,93
KARNATAKA,2009,By Over Alcoholism,0,43,73,97,36,249,1,6,0,6,0,13,262
KARNATAKA,2009,By Drowning,5,125,232,171,68,601,7,127,145,101,54,434,1035
KARNATAKA,2009,By Fire/Self Immolation,2,56,97,41,17,213,6,171,173,64,9,423,636
KARNATAKA,2009,By Fire-Arms,1,39,36,31,5,112,4,34,29,16,2,85,197
KARNATAKA,2009,By Hanging,33,617,857,615,249,2371,20,411,335,196,73,1035,3406
KARNATAKA,2009,By Consuming Insecticides,6,187,317,215,80,805,5,158,104,73,28,368,1173
KARNATAKA,2009,By Consuming Other Poison,11,386,752,568,169,1886,15,254,253,216,79,817,2703
KARNATAKA,2009,By Self Infliction of injury,1,9,12,3,3,28,0,5,2,3,0,10,38
KARNATAKA,2009,By Jumping from (Building),0,12,21,25,13,71,11,7,4,6,9,37,108
KARNATAKA,2009,By Jumping from (Other sites),2,21,13,4,6,46,1,6,2,1,0,10,56
KARNATAKA,2009,By Jumping off Moving Vehicles/Trains,0,0,1,0,0,1,0,0,2,0,0,2,3
KARNATAKA,2009,By Machine,0,0,2,0,0,2,0,0,0,0,1,1,3
KARNATAKA,2009,By Overdose of sleeping pills,0,3,5,1,1,10,1,4,5,0,4,14,24
KARNATAKA,2009,By touching electric wires,0,37,39,17,4,97,1,17,10,10,4,42,139
KARNATAKA,2009,By coming under running vehicles/trains,2,97,157,76,30,362,0,19,25,16,13,73,435
KARNATAKA,2009,By Other means (please specify),140,187,289,467,272,1355,91,87,163,187,94,622,1977
KARNATAKA,2009,Total,203,1819,2903,2331,953,8209,163,1306,1252,895,370,3986,12195
KARNATAKA,2009,Total (Poison),18,582,1081,786,252,2719,20,417,359,292,107,1195,3914
KARNATAKA,2009,Total (Jumping),2,33,34,29,19,117,12,13,6,7,9,47,164
KARNATAKA,2010,By Over Alcoholism,0,22,36,30,41,129,0,2,3,9,12,26,155
KARNATAKA,2010,By Drowning,8,160,231,189,80,668,13,125,115,105,48,406,1074
KARNATAKA,2010,By Fire/Self Immolation,8,76,112,41,8,245,11,130,97,104,23,365,610
KARNATAKA,2010,By Fire-Arms,0,9,18,8,8,43,17,21,9,6,1,54,97
KARNATAKA,2010,By Hanging,19,634,880,738,175,2446,33,478,373,192,77,1153,3599
KARNATAKA,2010,By Consuming Insecticides,17,236,291,165,78,787,31,205,134,34,16,420,1207
KARNATAKA,2010,By Consuming Other Poison,12,509,725,761,269,2276,12,338,346,216,90,1002,3278
KARNATAKA,2010,By Self Infliction of injury,0,2,1,0,0,3,1,7,0,0,0,8,11
KARNATAKA,2010,By Jumping from (Building),0,31,20,13,10,74,0,21,8,5,0,34,108
KARNATAKA,2010,By Jumping from (Other sites),0,20,19,22,6,67,1,3,2,2,1,9,76
KARNATAKA,2010,By Jumping off Moving Vehicles/Trains,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,2010,By Machine,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,2010,By Overdose of sleeping pills,0,0,2,4,2,8,0,3,2,1,2,8,16
KARNATAKA,2010,By touching electric wires,1,20,19,13,3,56,1,15,10,7,2,35,91
KARNATAKA,2010,By coming under running vehicles/trains,2,106,149,99,50,406,2,26,24,16,6,74,480
KARNATAKA,2010,By Other means (please specify),20,245,362,305,267,1199,46,228,125,138,113,650,1849
KARNATAKA,2010,Total,87,2070,2865,2388,997,8407,168,1602,1248,835,391,4244,12651
KARNATAKA,2010,Total (Poison),29,747,1017,926,347,3066,44,550,480,250,106,1430,4496
KARNATAKA,2010,Total (Jumping),0,51,39,35,16,141,1,24,10,7,1,43,184
KARNATAKA,2011,By Over Alcoholism,1,13,66,79,34,193,0,0,2,5,2,9,202
KARNATAKA,2011,By Drowning,11,171,237,137,76,632,4,130,126,76,32,368,1000
KARNATAKA,2011,By Fire/Self Immolation,3,101,108,69,14,295,3,186,136,76,31,432,727
KARNATAKA,2011,By Fire-Arms,1,11,6,1,4,23,1,10,6,2,0,19,42
KARNATAKA,2011,By Hanging,10,681,1106,613,192,2602,20,492,343,214,48,1117,3719
KARNATAKA,2011,By Consuming Insecticides,1,229,209,151,87,677,5,158,74,64,15,316,993
KARNATAKA,2011,By Consuming Other Poison,14,539,745,532,156,1986,9,371,286,224,47,937,2923
KARNATAKA,2011,By Self Infliction of injury,0,12,12,15,18,57,1,9,12,14,10,46,103
KARNATAKA,2011,By Jumping from (Building),2,40,32,14,8,96,2,41,22,14,3,82,178
KARNATAKA,2011,By Jumping from (Other sites),0,7,9,5,1,22,0,4,1,2,0,7,29
KARNATAKA,2011,By Jumping off Moving Vehicles/Trains,0,0,1,1,2,4,0,0,0,0,0,0,4
KARNATAKA,2011,By Machine,3,5,6,6,2,22,0,0,0,0,0,0,22
KARNATAKA,2011,By Overdose of sleeping pills,0,3,11,0,0,14,0,1,2,2,0,5,19
KARNATAKA,2011,By touching electric wires,2,14,10,5,4,35,0,9,6,9,3,27,62
KARNATAKA,2011,By coming under running vehicles/trains,3,103,141,92,38,377,0,33,25,13,6,77,454
KARNATAKA,2011,By Other means (please specify),169,397,345,379,147,1437,43,168,222,160,115,708,2145
KARNATAKA,2011,Total,220,2326,3044,2099,783,8472,88,1612,1263,875,312,4150,12622
KARNATAKA,2011,Total (Poison),15,780,966,698,261,2720,15,538,372,302,72,1299,4019
KARNATAKA,2011,Total (Jumping),2,47,41,19,9,118,2,45,23,16,3,89,207
KARNATAKA,2012,By Over Alcoholism,0,10,27,13,3,53,0,0,1,0,0,1,54
KARNATAKA,2012,By Drowning,12,156,238,142,60,608,9,110,112,68,32,331,939
KARNATAKA,2012,By Fire/Self Immolation,4,82,171,70,18,345,8,175,173,81,24,461,806
KARNATAKA,2012,By Fire-Arms,0,4,5,1,4,14,1,2,3,0,0,6,20
KARNATAKA,2012,By Hanging,21,945,1213,798,245,3222,29,713,425,227,72,1466,4688
KARNATAKA,2012,By Consuming Insecticides,1,164,125,114,46,450,1,101,73,25,13,213,663
KARNATAKA,2012,By Consuming Other Poison,16,605,815,563,182,2181,10,412,298,206,66,992,3173
KARNATAKA,2012,By Self Infliction of injury,0,2,1,2,0,5,0,1,1,0,0,2,7
KARNATAKA,2012,By Jumping from (Building),0,5,7,5,1,18,1,0,0,1,1,3,21
KARNATAKA,2012,By Jumping from (Other sites),1,2,7,1,0,11,0,1,1,0,1,3,14
KARNATAKA,2012,By Jumping off Moving Vehicles/Trains,0,1,7,0,0,8,0,0,0,0,0,0,8
KARNATAKA,2012,By Machine,3,0,6,1,3,13,0,0,0,0,0,0,13
KARNATAKA,2012,By Overdose of sleeping pills,0,3,6,3,2,14,0,3,0,0,5,8,22
KARNATAKA,2012,By touching electric wires,0,7,8,5,3,23,0,8,3,8,2,21,44
KARNATAKA,2012,By coming under running vehicles/trains,0,137,125,142,28,432,0,16,30,11,4,61,493
KARNATAKA,2012,By Other means (please specify),20,235,396,380,168,1199,19,244,143,129,54,589,1788
KARNATAKA,2012,Total,78,2358,3157,2240,763,8596,78,1786,1263,756,274,4157,12753
KARNATAKA,2012,Total (Poison),17,771,941,679,228,2636,11,514,372,231,79,1207,3843
KARNATAKA,2012,Total (Jumping),1,7,14,6,1,29,1,1,1,1,2,6,35
KERALA,2001,By Over Alcoholism,0,1,22,32,7,62,0,0,0,0,0,0,62
KERALA,2001,By Drowning,4,52,102,89,80,327,6,59,64,91,92,312,639
KERALA,2001,By Fire/Self Immolation,0,35,33,53,51,172,12,140,135,95,95,477,649
KERALA,2001,By Fire-Arms,0,1,0,0,0,1,0,0,0,0,0,0,1
KERALA,2001,By Hanging,20,543,947,978,559,3047,16,298,271,237,135,957,4004
KERALA,2001,By Consuming Insecticides,9,197,453,537,328,1524,12,164,155,101,75,507,2031
KERALA,2001,By Consuming Other Poison,9,180,397,405,182,1173,1,83,129,109,59,381,1554
KERALA,2001,By Self Infliction of injury,0,2,2,5,5,14,0,0,2,2,1,5,19
KERALA,2001,By Jumping from (Building),0,6,6,1,2,15,0,5,3,2,0,10,25
KERALA,2001,By Jumping from (Other sites),0,5,6,11,4,26,0,3,7,4,3,17,43
KERALA,2001,By Jumping off Moving Vehicles/Trains,0,26,21,18,13,78,0,12,7,6,3,28,106
KERALA,2001,By Machine,0,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,2001,By Overdose of sleeping pills,0,6,17,19,7,49,0,6,6,7,4,23,72
KERALA,2001,By touching electric wires,0,4,5,3,0,12,0,2,1,0,0,3,15
KERALA,2001,By coming under running vehicles/trains,0,24,63,45,36,168,0,11,11,5,6,33,201
KERALA,2001,By Other means (please specify),1,27,33,44,14,119,1,11,7,7,6,32,151
KERALA,2001,Total,43,1109,2107,2240,1288,6787,48,794,798,666,479,2785,9572
KERALA,2001,Total (Poison),18,379,852,947,515,2711,13,247,286,212,135,893,3604
KERALA,2001,Total (Jumping),0,11,12,12,6,41,0,8,10,6,3,27,68
KERALA,2002,By Over Alcoholism,0,7,45,86,31,169,0,0,3,0,1,4,173
KERALA,2002,By Drowning,3,60,81,123,117,384,7,75,103,77,64,326,710
KERALA,2002,By Fire/Self Immolation,3,31,32,38,31,135,9,89,95,86,56,335,470
KERALA,2002,By Fire-Arms,0,0,0,0,0,0,0,4,0,0,0,4,4
KERALA,2002,By Hanging,24,669,1030,956,621,3300,21,256,341,212,150,980,4280
KERALA,2002,By Consuming Insecticides,10,229,459,478,261,1437,9,137,131,112,60,449,1886
KERALA,2002,By Consuming Other Poison,11,182,378,339,321,1231,17,95,110,90,71,383,1614
KERALA,2002,By Self Infliction of injury,2,17,42,64,30,155,2,11,20,25,5,63,218
KERALA,2002,By Jumping from (Building),0,4,3,4,0,11,0,0,1,0,0,1,12
KERALA,2002,By Jumping from (Other sites),0,0,0,1,0,1,0,0,0,0,0,0,1
KERALA,2002,By Jumping off Moving Vehicles/Trains,1,7,11,9,8,36,0,3,3,1,2,9,45
KERALA,2002,By Machine,0,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,2002,By Overdose of sleeping pills,0,5,13,3,7,28,0,5,6,7,6,24,52
KERALA,2002,By touching electric wires,0,1,1,2,0,4,0,0,0,0,0,0,4
KERALA,2002,By coming under running vehicles/trains,0,49,95,66,43,253,0,11,19,12,4,46,299
KERALA,2002,By Other means,0,3,6,8,4,21,0,3,8,3,7,21,42
KERALA,2002,Total,54,1264,2196,2177,1474,7165,65,689,840,625,426,2645,9810
KERALA,2002,Total (Poison),23,428,879,881,612,2823,28,243,261,227,136,895,3718
KERALA,2002,Total (Jumping),0,4,3,5,0,12,0,0,1,0,0,1,13
KERALA,2003,By Over Alcoholism,0,3,12,16,8,39,0,0,0,0,0,0,39
KERALA,2003,By Drowning,10,60,91,86,94,341,6,55,61,44,90,256,597
KERALA,2003,By Fire/Self Immolation,2,25,38,42,7,114,9,106,93,42,68,318,432
KERALA,2003,By Fire-Arms,0,2,2,4,1,9,1,2,0,0,0,3,12
KERALA,2003,By Hanging,24,632,950,915,592,3113,19,345,248,207,145,964,4077
KERALA,2003,By Consuming Insecticides,4,242,432,502,359,1539,3,136,112,105,82,438,1977
KERALA,2003,By Consuming Other Poison,3,151,370,526,317,1367,8,84,94,100,91,377,1744
KERALA,2003,By Self Infliction of injury,0,3,3,2,2,10,0,2,1,0,1,4,14
KERALA,2003,By Jumping from (Building),0,2,4,4,1,11,0,0,1,1,0,2,13
KERALA,2003,By Jumping from (Other sites),0,0,1,3,1,5,0,1,3,2,1,7,12
KERALA,2003,By Jumping off Moving Vehicles/Trains,1,8,24,10,9,52,0,9,2,1,0,12,64
KERALA,2003,By Machine,0,0,2,1,0,3,0,0,0,0,0,0,3
KERALA,2003,By Overdose of sleeping pills,0,3,8,4,1,16,0,4,4,3,0,11,27
KERALA,2003,By touching electric wires,0,6,11,3,1,21,0,3,0,0,0,3,24
KERALA,2003,By coming under running vehicles/trains,1,41,46,46,29,163,2,11,8,12,6,39,202
KERALA,2003,By Other means (please specify),5,22,38,52,15,132,1,16,20,27,5,69,201
KERALA,2003,Total,50,1200,2032,2216,1437,6935,49,774,647,544,489,2503,9438
KERALA,2003,Total (Poison),7,396,805,1030,678,2916,11,222,207,205,174,819,3735
KERALA,2003,Total (Jumping),0,2,5,7,2,16,0,1,4,3,1,9,25
KERALA,2004,By Over Alcoholism,0,3,4,14,6,27,0,0,0,0,0,0,27
KERALA,2004,By Drowning,6,86,85,71,50,298,8,41,64,55,96,264,562
KERALA,2004,By Fire/Self Immolation,2,21,39,36,19,117,10,108,73,50,61,302,419
KERALA,2004,By Fire-Arms,0,1,1,0,0,2,0,0,0,0,0,0,2
KERALA,2004,By Hanging,25,615,1050,1008,594,3292,17,358,281,197,167,1020,4312
KERALA,2004,By Consuming Insecticides,6,168,408,472,246,1300,9,108,102,113,74,406,1706
KERALA,2004,By Consuming Other Poison,5,126,319,389,285,1124,6,85,98,91,66,346,1470
KERALA,2004,By Self Infliction of injury,0,0,5,4,3,12,0,0,1,1,1,3,15
KERALA,2004,By Jumping from (Building),0,1,0,2,0,3,0,1,0,0,0,1,4
KERALA,2004,By Jumping from (Other sites),0,2,5,4,0,11,0,0,3,0,1,4,15
KERALA,2004,By Jumping off Moving Vehicles/Trains,1,17,16,11,10,55,2,5,8,4,1,20,75
KERALA,2004,By Machine,0,0,0,0,0,0,0,0,0,1,0,1,1
KERALA,2004,By Overdose of sleeping pills,0,6,5,1,0,12,0,1,3,4,1,9,21
KERALA,2004,By touching electric wires,2,9,1,1,2,15,0,1,1,1,0,3,18
KERALA,2004,By coming under running vehicles/trains,0,37,86,54,30,207,0,9,10,10,5,34,241
KERALA,2004,By Other means (please specify),1,15,43,43,21,123,1,12,10,9,10,42,165
KERALA,2004,Total,48,1107,2067,2110,1266,6598,53,729,654,536,483,2455,9053
KERALA,2004,Total (Poison),11,294,732,865,534,2436,15,193,201,205,141,755,3191
KERALA,2004,Total (Jumping),0,3,5,6,0,14,0,1,3,0,1,5,19
KERALA,2005,By Over Alcoholism,0,1,12,5,2,20,0,0,0,0,0,0,20
KERALA,2005,By Drowning,7,61,94,75,90,327,5,51,70,73,71,270,597
KERALA,2005,By Fire/Self Immolation,3,20,42,29,16,110,5,95,98,89,49,336,446
KERALA,2005,By Fire-Arms,0,0,1,1,0,2,0,0,0,0,0,0,2
KERALA,2005,By Hanging,20,627,1054,1103,546,3350,22,308,251,195,135,911,4261
KERALA,2005,By Consuming Insecticides,7,220,438,562,289,1516,5,128,118,132,101,484,2000
KERALA,2005,By Consuming Other Poison,7,215,362,335,215,1134,7,80,71,77,99,334,1468
KERALA,2005,By Self Infliction of injury,0,8,5,9,2,24,0,0,3,2,0,5,29
KERALA,2005,By Jumping from (Building),0,5,4,2,0,11,0,7,0,0,0,7,18
KERALA,2005,By Jumping from (Other sites),0,1,1,2,0,4,0,1,0,0,0,1,5
KERALA,2005,By Jumping off Moving Vehicles/Trains,0,20,19,18,7,64,0,4,5,1,4,14,78
KERALA,2005,By Machine,0,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,2005,By Overdose of sleeping pills,0,2,3,2,4,11,0,0,3,1,2,6,17
KERALA,2005,By touching electric wires,0,3,4,3,2,12,0,0,0,0,0,0,12
KERALA,2005,By coming under running vehicles/trains,1,43,35,44,18,141,4,6,8,2,2,22,163
KERALA,2005,By Other means (please specify),1,12,45,17,29,104,2,10,5,4,3,24,128
KERALA,2005,Total,46,1238,2119,2207,1220,6830,50,690,632,576,466,2414,9244
KERALA,2005,Total (Poison),14,443,805,906,506,2674,12,208,192,211,200,823,3497
KERALA,2005,Total (Jumping),0,6,5,4,0,15,0,8,0,0,0,8,23
KERALA,2006,By Over Alcoholism,0,0,13,7,2,22,0,0,0,0,0,0,22
KERALA,2006,By Drowning,13,57,84,98,60,312,7,50,48,45,80,230,542
KERALA,2006,By Fire/Self Immolation,0,16,32,32,23,103,7,119,76,53,52,307,410
KERALA,2006,By Fire-Arms,0,0,0,1,0,1,0,0,0,0,0,0,1
KERALA,2006,By Hanging,25,588,1075,1075,596,3359,25,332,300,264,147,1068,4427
KERALA,2006,By Consuming Insecticides,6,151,280,465,270,1172,11,95,109,121,73,409,1581
KERALA,2006,By Consuming Other Poison,6,198,373,421,260,1258,8,65,81,92,83,329,1587
KERALA,2006,By Self Infliction of injury,0,2,4,2,5,13,0,1,0,1,1,3,16
KERALA,2006,By Jumping from (Building),0,1,3,1,0,5,0,1,0,0,1,2,7
KERALA,2006,By Jumping from (Other sites),0,0,2,3,0,5,0,0,1,0,0,1,6
KERALA,2006,By Jumping off Moving Vehicles/Trains,0,12,24,16,5,57,0,1,0,3,1,5,62
KERALA,2006,By Machine,0,0,0,0,0,0,0,0,0,0,0,0,0
KERALA,2006,By Overdose of sleeping pills,0,1,10,8,3,22,0,5,10,5,5,25,47
KERALA,2006,By touching electric wires,0,4,2,1,1,8,0,0,0,0,0,0,8
KERALA,2006,By coming under running vehicles/trains,2,34,88,56,32,212,0,11,15,13,5,44,256
KERALA,2006,By Other means (please specify),2,2,1,13,16,34,2,2,0,5,11,20,54
KERALA,2006,Total,54,1066,1991,2199,1273,6583,60,682,640,602,459,2443,9026
KERALA,2006,Total (Poison),12,351,657,888,535,2443,19,161,190,214,157,741,3184
KERALA,2006,Total (Jumping),0,1,5,4,0,10,0,1,1,0,1,3,13
KERALA,2007,By Over Alcoholism,0,0,7,10,2,19,0,0,0,0,0,0,19
KERALA,2007,By Drowning,2,65,93,89,50,299,4,49,59,57,56,225,524
KERALA,2007,By Fire/Self Immolation,0,22,30,19,11,82,10,95,83,79,50,317,399
KERALA,2007,By Fire-Arms,0,0,0,0,1,1,0,0,0,0,0,0,1
KERALA,2007,By Hanging,34,612,1067,1159,490,3362,17,295,266,243,133,954,4316
KERALA,2007,By Consuming Insecticides,4,133,293,388,204,1022,3,59,111,108,52,333,1355
KERALA,2007,By Consuming Other Poison,7,188,426,509,285,1415,9,86,118,119,88,420,1835
KERALA,2007,By Self Infliction of injury,0,3,5,1,2,11,0,1,4,1,0,6,17
